Total rows: 238

monitor_id | descripcion | marca | sub_familia | grupo_comparable | ultimo_pvp | ultima_fecha
202 | Salsa Bolognesa LA ESPECIALISTA 200 gr | LA ESPECIALISTA | Salsas 200 g | 1 | 225 | 2026-05-31
174 | Salsa Carusso LA ESPECIALISTA 200 g | LA ESPECIALISTA | Salsas 200 g | 1 | 225 | 2026-05-31
213 | Albóndigas de Carne con Salsa TIENDA INGLESA (Porción) | TIENDA INGLESA | Salsas 200 g | NULL | 1080 | 2026-05-31
272 | Salsa de Tomate BARILLA Napolitana 400 g | BARILLA | Salsas 370 g | NULL | 215 | 2026-05-18
258 | Salsa de Tomate BARILLA Napolitana 400 g | BARILLA | Salsas 370 g | NULL | 259 | 2026-05-18
183 | Salsa de Tomate CAMPOCLARO Orgánica Mediterráneo 570 g | CAMPOCLARO | Salsas 370 g | NULL | 310 | 2026-05-31
190 | Salsa de Tomate CAMPOCLARO Orgánica Mediterráneo 570 g | CAMPOCLARO | Salsas 370 g | NULL | 310 | 2026-05-31
177 | Salsa Rústica CIRIO a la Arrabbiata 420 g | CIRIO | Salsas 370 g | NULL | 184 | 2026-05-31
160 | Salsa de Tomate EMIGRANTE Frito 350 g | EMIGRANTE | Salsas 370 g | NULL | 259 | 2026-05-31
157 | Salsa de Tomate GOURMET Concentrada con Albahaca 1.030 Kg | GOURMET | Salsas 370 g | NULL | 113 | 2026-05-31
184 | Salsa de Tomate GOURMET Concentrada con Albahaca 1.030 Kg | GOURMET | Salsas 370 g | NULL | 113 | 2026-05-31
171 | Salsa de Tomate GOURMET Napolitana 1030 g | GOURMET | Salsas 370 g | NULL | 113 | 2026-05-31
189 | Salsa de Tomate GOURMET Napolitana 1030 g | GOURMET | Salsas 370 g | NULL | 113 | 2026-05-31
200 | Salsa Bolognesa LA ESPECIALISTA  370 gr | LA ESPECIALISTA | Salsas 370 g | 1 | 348 | 2026-05-31
216 | Salsa Carusso LA ESPECIALISTA 370 gr | LA ESPECIALISTA | Salsas 370 g | 1 | 404 | 2026-05-31
192 | Tuco con Pollo LA ESPECIALISTA 370 gr | LA ESPECIALISTA | Salsas 370 g | 1 | 380 | 2026-05-31
172 | Salsa de Tomate PONTEVEDRA Mediterranea 340 g | PONTEVEDRA | Salsas 370 g | NULL | 80 | 2026-05-31
175 | Salsa de Tomate PONTEVEDRA Pronto Pasta 340 g | PONTEVEDRA | Salsas 370 g | NULL | 80 | 2026-05-31
162 | Salsa RUMMO All Arrabbiata 340 g | RUMMO | Salsas 370 g | NULL | 254 | 2026-05-31
277 | Fideos ADRIA Moña Chica Corbatita 500 gr | ADRIA | Sin Clasificar | NULL | 404 | 2026-05-18
266 | Fideos ADRIA Nido 1 500gr | ADRIA | Sin Clasificar | NULL | 335 | 2026-05-18
265 | Fideos ADRIA Nido 2 500 gr | ADRIA | Sin Clasificar | NULL | 85 | 2026-05-18
261 | Fideos ADRIA Nido 2 500 gr | ADRIA | Sin Clasificar | NULL | 139 | 2026-05-18
284 | Fideos ADRIA Nido 3 500g | ADRIA | Sin Clasificar | NULL | 300 | 2026-05-18
288 | Fideos ADRIA Nido Cabello de Ángel 500g | ADRIA | Sin Clasificar | NULL | 300 | 2026-05-18
282 | Fideos Penne Rigate BARILLA 500 gr | BARILLA | Sin Clasificar | NULL | 221 | 2026-05-18
259 | Fideos Penne Rigate BARILLA 500 gr | BARILLA | Sin Clasificar | NULL | 39 | 2026-05-18
276 | Fideos Spaghetti N°5 BARILLA 500 gr | BARILLA | Sin Clasificar | NULL | 335 | 2026-05-18
278 | Fideos Spaghetti N°5 BARILLA 500 gr | BARILLA | Sin Clasificar | NULL | 215 | 2026-05-18
233 | Rapiditas BIMBO Clásicas (10 un.) | BIMBO | Sin Clasificar | NULL | 70 | 2026-05-18
289 | Arroz BLUE PATNA 1 Kg | BLUE PATNA | Sin Clasificar | NULL | 330 | 2026-05-18
299 | Café Instantáneo BRACAFÉ 12 Sobres | BRACAFÉ | Sin Clasificar | NULL | 550 | 2026-05-18
296 | Chorizos Extra CATTIVELLI (Kg) | CATTIVELLI | Sin Clasificar | NULL | 335 | 2026-05-18
290 | Jamón Cocido Cuadrille Extra CATTIVELLI  (Kg) | CATTIVELLI | Sin Clasificar | NULL | 955 | 2026-05-18
267 | Salchicha Parrillera CATTIVELLI Envasado al Vacío (Kg) | CATTIVELLI | Sin Clasificar | NULL | 336 | 2026-05-18
102 | Jamón Cocido Etiqueta Azul CENTENARIO (Kg) | CENTENARIO | Sin Clasificar | NULL | 233.1 | 2026-05-18
257 | Palitos Stickletti CHIO 125 gr | CHIO | Sin Clasificar | NULL | 80 | 2026-05-18
232 | COCA-COLA Original 1.5 L | COCA | Sin Clasificar | NULL | 60 | 2026-05-18
238 | COCA-COLA Zero 1.5 L | COCA | Sin Clasificar | NULL | 395 | 2026-05-18
234 | COCA-COLA Zero 2.25 L | COCA | Sin Clasificar | NULL | 357 | 2026-05-18
264 | Capellini COLAVITA Angel Hair Nests 500 gr | COLAVITA | Sin Clasificar | NULL | 395 | 2026-05-18
273 | Tagliatelle a Nido COLAVITA 500 gr | COLAVITA | Sin Clasificar | NULL | 335 | 2026-05-18
95 | Queso Muzzarella CONAPROLE (Kg) | CONAPROLE | Sin Clasificar | NULL | 126 | 2026-05-18
295 | Queso Colonia Especial EL GAUCHO de Corte (Kg) | EL GAUCHO | Sin Clasificar | NULL | 245 | 2026-05-18
269 | Galleta Chiquilín de Chocolate EL TRIGAL 220 gr | EL TRIGAL | Sin Clasificar | NULL | 945 | 2026-05-18
293 | Toalla de Papel ELITE Ultra 3 Rollos x 210 Paños | ELITE | Sin Clasificar | NULL | 540 | 2026-05-18
294 | Limpiador Líquido Multiusos FABULOSO Frescura Antibacterial Lavanda 5 L | FABULOSO | Sin Clasificar | NULL | 210 | 2026-05-18
262 | Palillos para Dientes GABOARDI Caja x 80 Unidades | GABOARDI | Sin Clasificar | NULL | 113 | 2026-05-18
283 | Cepillo Dental GUM Ortodoncia | GUM | Sin Clasificar | NULL | 221 | 2026-05-18
274 | Grisines LA TRIGUEÑA Integrales 150 gr | LA TRIGUEÑA | Sin Clasificar | NULL | 60 | 2026-05-18
287 | Fideos Fettuccini LAS ACACIAS Integral 400 gr | LAS ACACIAS | Sin Clasificar | NULL | 260 | 2026-05-18
281 | Fideos LAS ACACIAS Trigo Duro Fettuccini 500 gr | LAS ACACIAS | Sin Clasificar | NULL | 215 | 2026-05-18
268 | Fideos Fettuccine MONTEGRAPPA 200 gr | MONTEGRAPPA | Sin Clasificar | NULL | 320 | 2026-05-18
291 | Salmón Chileno Fresco Premium MOWI (Kg) | MOWI | Sin Clasificar | NULL | 415 | 2026-05-18
280 | Agua Mineral Natural sin Gas NATIVA 6 L | NATIVA | Sin Clasificar | NULL | 795 | 2026-05-18
275 | Alfajor de Chocolate PORTEZUELO (6 un.) | PORTEZUELO | Sin Clasificar | NULL | 1080 | 2026-05-18
235 | Refresco SALUS Tónica sin Azúcar con Gas 1.5 L | SALUS | Sin Clasificar | NULL | 357 | 2026-05-18
243 | SCHWEPPES Citrus sin Azúcar 1.5 L | SCHWEPPES | Sin Clasificar | NULL | 357 | 2026-05-18
239 | SCHWEPPES Pomelo sin Azúcar 1.5 L | SCHWEPPES | Sin Clasificar | NULL | 395 | 2026-05-18
230 | SCHWEPPES Tónica sin Azúcar 1.5 L | SCHWEPPES | Sin Clasificar | NULL | 70 | 2026-05-18
241 | SPRITE sin Azúcar 2.25 L | SPRITE | Sin Clasificar | NULL | 139 | 2026-05-18
260 | Fideos de Arroz STAR LION 200 gr | STAR LION | Sin Clasificar | NULL | 85 | 2026-05-18
244 | Ajos TIENDA INGLESA (2 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 205 | 2026-05-18
227 | Buñuelos de Espinaca Fritos TIENDA INGLESA (Kg) | TIENDA INGLESA | Sin Clasificar | NULL | 930 | 2026-05-19
229 | Cebolla Colorada Granel TIENDA INGLESA (Kg) | TIENDA INGLESA | Sin Clasificar | NULL | 310 | 2026-05-18
242 | Cebolla en Malla TIENDA INGLESA (Kg) | TIENDA INGLESA | Sin Clasificar | NULL | 339 | 2026-05-18
211 | Ensalada Balance TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 59 | 2026-05-18
270 | Fideos Fettuccine TIENDA INGLESA 500 gr | TIENDA INGLESA | Sin Clasificar | NULL | 879 | 2026-05-18
100 | Harina Tipo 0000 TIENDA INGLESA  1 Kg | TIENDA INGLESA | Sin Clasificar | NULL | 129.6 | 2026-05-18
252 | Kiwi TIENDA INGLESA a Granel (kg) | TIENDA INGLESA | Sin Clasificar | NULL | 225 | 2026-05-18
212 | Lasagna con Jamón, Queso y Verdura TIENDA INGLESA Porción | TIENDA INGLESA | Sin Clasificar | NULL | 320 | 2026-05-19
205 | Lasagna con Jamón, Queso y Verdura TIENDA INGLESA Porción | TIENDA INGLESA | Sin Clasificar | NULL | 320 | 2026-05-19
217 | Lasagna de Masa Verde Rellena de Carne TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 335 | 2026-05-19
203 | Lasagna de Masa Verde Rellena de Carne TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 335 | 2026-05-19
222 | Lasagna de Pollo TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 335 | 2026-05-19
215 | Lasagna Familiar TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 795 | 2026-05-19
219 | Milanesa de Carne Cruda TIENDA INGLESA (Kg) | TIENDA INGLESA | Sin Clasificar | NULL | 945 | 2026-05-19
208 | Milanesa de Carne Frita TIENDA INGLESA (Kg) | TIENDA INGLESA | Sin Clasificar | NULL | 955 | 2026-05-19
334 | Ñoquis con Salsa Caruso TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 260 | 2026-05-31
224 | Ñoquis con Salsa Caruso TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 260 | 2026-05-31
196 | Ñoquis con Tuco de Carne TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 289 | 2026-05-31
286 | Pan Flauta TIENDA INGLESA 240 gr | TIENDA INGLESA | Sin Clasificar | NULL | 99 | 2026-05-19
221 | Pastel de Carne TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 35 | 2026-05-18
231 | Pepino a Granel TIENDA INGLESA | TIENDA INGLESA | Sin Clasificar | NULL | 168 | 2026-05-18
248 | Pulpa de Tomate TIENDA INGLESA Concentrada 1,030 Kg | TIENDA INGLESA | Sin Clasificar | NULL | 80 | 2026-05-18
225 | Ravioles de Verdura con Salsa Carusso TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 300 | 2026-05-19
223 | Ravioles de Verdura con Tuco de Carne TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 300 | 2026-05-19
204 | Ravioles de Verdura con Tuco de Carne TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 300 | 2026-05-19
206 | Strogonoff de Pollo con Arroz TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 235 | 2026-05-18
228 | Strogonoff de Pollo TIENDA INGLESA (Kg) | TIENDA INGLESA | Sin Clasificar | NULL | 540 | 2026-05-19
207 | Torta de Carne Individual TIENDA INGLESA (1 un.) | TIENDA INGLESA | Sin Clasificar | NULL | 144 | 2026-05-18
